       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[1, 0]-0.000,  0.000,  0.001, -0.001,  0.001, -0.000,  0.003,  0.000,  0.000,  0.004,  0.672, -0.002, -0.001,  0.003,  0.005,  0.007,  0.000,  0.000,  0.011,  0.001, -0.000, -0.000,  0.003, -0.000,  0.003, -0.001, -0.002, -0.076, -0.474,  0.000,  0.002, -0.002, -0.000,  0.000, -0.005,  0.097,  0.102, -0.000,  0.001,  0.002, -0.000, -0.001,  0.070,  0.000,  0.001,  0.001,  0.000, -0.004,  0.007,  0.003,  0.000,  0.001,  0.003,  0.001,  0.417, -0.000,  0.000,  0.003,  0.001, -0.002, -0.005, -0.004, -0.000,  0.002, 
[1, 1]-0.000, -0.000,  0.173,  0.002, -0.000,  0.001, -0.005, -0.003, -0.001, -0.000, -0.002,  1.853, -0.089,  0.002, -0.000,  0.010, -0.000, -0.001,  0.000,  0.008,  0.001,  0.000, -0.003,  0.003,  0.000, -0.225, -0.001,  0.000,  0.000, -0.013,  0.002, -0.001, -0.000, -0.013, -0.001, -0.003,  0.000,  0.051, -0.001,  0.002,  0.000, -0.000,  0.000, -0.090, -0.106, -0.000,  0.001,  0.001, -0.002,  0.001,  0.006, -0.005,  0.000, -0.001,  0.000,  0.347,  0.000, -0.005, -0.002, -0.001, -0.001,  0.003, -0.153, -0.000, 
[0, 0]-0.000, -0.000,  0.093,  0.000,  0.002,  0.000,  0.002, -0.002, -0.000, -0.003, -0.001, -0.089,  0.394,  0.001,  0.003,  0.000,  0.000,  0.000,  0.000,  0.001,  0.008,  0.001,  0.004,  0.002,  0.000, -0.013, -0.004, -0.000, -0.001,  0.551, -0.003,  0.002, -0.000,  0.051,  0.004,  0.000, -0.004, -0.125,  0.001,  0.001, -0.000, -0.000,  0.002, -0.106,  0.000, -0.001, -0.000, -0.001,  0.003,  0.001,  0.004, -0.003, -0.001, -0.002, -0.000,  0.230, -0.000,  0.000, -0.000, -0.001,  0.002,  0.007,  0.230, -0.000, 
[0, 1] 0.000,  0.000, -0.000,  0.097, -0.119,  0.002, -0.001, -0.001, -0.001,  0.000,  0.003,  0.002,  0.001,  0.106,  0.001, -0.004, -0.001, -0.001, -0.000,  0.000,  0.000,  0.005,  0.000, -0.004, -0.474, -0.000,  0.000, -0.001, -0.003,  0.001, -0.000,  0.007,  0.102, -0.000, -0.000,  0.000, -0.002, -0.002,  0.000, -0.002,  0.001,  0.106,  0.001, -0.000, -0.002, -0.090,  0.000,  0.001, -0.001,  0.000,  0.000,  0.000, -0.000, -0.000,  0.002,  0.000, -0.008,  0.000, -0.004,  0.002,  0.001,  0.002,  0.001, -0.230, 
[1, 0] 0.000, -0.000, -0.001, -0.001,  0.002, -0.000,  0.002,  0.000, -0.001,  0.000,  0.005, -0.000,  0.003,  0.001,  1.422, -0.000, -0.000,  0.003, -0.000, -0.003,  0.004,  0.002,  0.007,  0.000, -0.003,  0.001, -0.006,  0.006, -0.001, -0.000, -0.001, -0.326,  0.001,  0.001,  0.002, -0.003,  0.000,  0.000, -0.004,  0.137, -0.000,  0.000,  0.000,  0.001, -0.000, -0.000,  0.070,  0.000,  0.000,  0.347, -0.002, -0.001, -0.001,  0.230, -0.004,  0.000, -0.000, -0.000,  0.001, -0.153,  0.230, -0.000, -0.000, -0.006, 
[1, 1]-0.000,  0.000,  0.003,  0.000, -0.000, -0.003,  0.195,  0.002,  0.012,  0.000,  0.007,  0.010,  0.000, -0.004, -0.000,  1.075,  0.003,  0.003, -0.000,  0.000,  0.000, -0.004, -0.000,  0.005, -0.002, -0.005, -0.000,  0.001,  0.008,  0.002, -0.001,  0.001,  0.002,  0.000,  0.000, -0.002, -0.002, -0.000,  0.001, -0.002,  0.000,  0.000, -0.004,  0.001, -0.001,  0.001,  0.001, -0.160,  0.417, -0.000,  0.000, -0.001, -0.001,  0.000, -0.007, -0.000, -0.000,  0.153,  0.002,  0.001,  0.001, -0.230, -0.004, -0.003, 
[0, 0] 0.000, -0.000,  0.000, -0.000,  0.000,  0.005,  0.000,  0.009,  0.001,  0.001,  0.000, -0.000,  0.000, -0.001, -0.000,  0.003, -0.250,  0.001,  0.000, -0.000,  0.001, -0.000,  0.000,  0.005, -0.001,  0.173, -0.000, -0.000, -0.000,  0.093,  0.002,  0.002,  0.000,  0.093,  0.005, -0.000, -0.000, -0.673, -0.003, -0.001,  0.008, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.002,  0.006, -0.001,  0.009, -0.002,  0.003, -0.000,  0.000,  0.500, -0.004,  0.003,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, 
[0, 1]-0.000,  0.000,  0.000,  0.003, -0.000, -0.000,  0.007,  0.000,  0.000,  0.004,  0.000, -0.001,  0.000, -0.001,  0.003,  0.003,  0.001,  0.672,  0.011, -0.002, -0.005,  0.070,  0.000,  0.001, -0.001, -0.002,  0.001, -0.076,  0.097,  0.000,  0.001, -0.002,  0.001, -0.001, -0.000, -0.474,  0.102,  0.001,  0.003, -0.005, -0.000,  0.003, -0.000,  0.000, -0.000,  0.001,  0.001, -0.004,  0.003,  0.005,  0.003,  0.002,  0.001,  0.000,  0.417, -0.000,  0.000,  0.007, -0.000, -0.002,  0.002, -0.004, -0.000,  0.002, 
[1, 0]-0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.011,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.011, -2.248, -0.004,  0.000, -0.008,  0.012,  0.039,  0.000,  0.000, -0.004, -0.002, -0.001,  0.000,  0.011, -0.000,  0.000,  0.000,  0.000, -0.001, -0.009,  0.000, -0.000, -0.000, -0.000, -0.000, -0.008,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.012,  0.011, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.039, -0.000, -0.000,  0.000, -0.000, -0.000, 
[1, 1] 0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.001,  0.008,  0.001,  0.000, -0.003,  0.000, -0.000, -0.002, -0.004, -0.174, -0.160,  0.001, -0.000,  0.000, -0.000, -0.001,  0.173, -0.003, -0.000,  0.001, -0.002,  0.003, -0.000, -0.004,  0.093,  0.001, -0.001,  0.001,  0.002,  0.002,  0.000,  0.000,  0.000, -0.004, -0.001, -0.000,  0.004, -0.000, -0.000, -0.006,  0.000,  0.002, -0.003,  0.002, -0.001,  0.000, -0.000, -0.000,  0.003,  0.028,  0.004,  0.000, -0.002,  0.000, 
