       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[1, 0] 0.017,  0.280, -0.171,  0.025, -0.173,  0.025, -0.084, -0.004, -0.025, -0.409,  0.250, -0.037,  0.252, -0.036,  0.123,  0.006, -0.019, -0.305,  0.186, -0.028,  0.188, -0.027,  0.091,  0.005, -0.011, -0.189,  0.115, -0.017,  0.116, -0.017,  0.057,  0.003, -0.019, -0.307,  0.188, -0.028,  0.190, -0.027,  0.092,  0.005, -0.012, -0.190,  0.116, -0.017,  0.117, -0.017,  0.057,  0.003, -0.010, -0.165,  0.101, -0.015,  0.101, -0.014,  0.049,  0.003, -0.004, -0.068,  0.041, -0.006,  0.042, -0.006,  0.020,  0.001, 
[1, 1] 0.351,  0.084,  0.086,  0.021,  0.084,  0.026,  0.016,  0.004, -0.513, -0.123, -0.126, -0.030, -0.123, -0.038, -0.023, -0.007, -0.382, -0.091, -0.094, -0.023, -0.092, -0.028, -0.017, -0.005, -0.236, -0.057, -0.058, -0.014, -0.057, -0.017, -0.011, -0.003, -0.385, -0.092, -0.094, -0.023, -0.093, -0.028, -0.017, -0.005, -0.238, -0.057, -0.058, -0.014, -0.057, -0.018, -0.011, -0.003, -0.206, -0.049, -0.051, -0.012, -0.050, -0.015, -0.009, -0.003, -0.085, -0.020, -0.021, -0.005, -0.020, -0.006, -0.004, -0.001, 
[0, 0]-0.000, -0.041, -0.033,  0.304,  0.072, -0.135, -0.167,  0.001,  0.000,  0.060,  0.048, -0.444, -0.106,  0.197,  0.244, -0.001,  0.000,  0.045,  0.036, -0.330, -0.079,  0.146,  0.181, -0.001,  0.000,  0.028,  0.022, -0.205, -0.049,  0.091,  0.112, -0.001,  0.000,  0.045,  0.036, -0.334, -0.080,  0.148,  0.183, -0.001,  0.000,  0.028,  0.022, -0.206, -0.049,  0.091,  0.113, -0.001,  0.000,  0.024,  0.019, -0.179, -0.043,  0.079,  0.098, -0.001,  0.000,  0.010,  0.008, -0.073, -0.018,  0.033,  0.040, -0.000, 
[0, 1] 0.001,  0.000, -0.264, -0.063,  0.262,  0.063, -0.001, -0.000, -0.001, -0.000,  0.385,  0.093, -0.383, -0.093,  0.002,  0.000, -0.001, -0.000,  0.287,  0.069, -0.285, -0.069,  0.001,  0.000, -0.000, -0.000,  0.177,  0.043, -0.176, -0.043,  0.001,  0.000, -0.001, -0.000,  0.289,  0.070, -0.288, -0.070,  0.001,  0.000, -0.000, -0.000,  0.179,  0.043, -0.178, -0.043,  0.001,  0.000, -0.000, -0.000,  0.155,  0.037, -0.154, -0.037,  0.001,  0.000, -0.000, -0.000,  0.064,  0.015, -0.063, -0.015,  0.000,  0.000, 
[1, 0]-0.003, -0.071,  0.056, -0.003, -0.015,  0.286, -0.237,  0.013,  0.005,  0.103, -0.081,  0.005,  0.022, -0.418,  0.346, -0.019,  0.004,  0.077, -0.061,  0.004,  0.016, -0.311,  0.258, -0.014,  0.002,  0.048, -0.038,  0.002,  0.010, -0.192,  0.159, -0.009,  0.004,  0.077, -0.061,  0.004,  0.016, -0.314,  0.260, -0.014,  0.002,  0.048, -0.038,  0.002,  0.010, -0.194,  0.161, -0.009,  0.002,  0.041, -0.033,  0.002,  0.009, -0.168,  0.139, -0.007,  0.001,  0.017, -0.013,  0.001,  0.004, -0.069,  0.057, -0.003, 
[1, 1] 0.004, -0.021, -0.021,  0.085, -0.021,  0.085,  0.085, -0.351, -0.006,  0.030,  0.030, -0.124,  0.030, -0.124, -0.124,  0.513, -0.005,  0.023,  0.022, -0.092,  0.022, -0.092, -0.092,  0.382, -0.003,  0.014,  0.014, -0.057,  0.014, -0.057, -0.057,  0.236, -0.005,  0.023,  0.023, -0.093,  0.023, -0.093, -0.093,  0.385, -0.003,  0.014,  0.014, -0.058,  0.014, -0.058, -0.058,  0.238, -0.003,  0.012,  0.012, -0.050,  0.012, -0.050, -0.050,  0.206, -0.001,  0.005,  0.005, -0.021,  0.005, -0.020, -0.020,  0.085, 
[0, 0]-0.004,  0.010,  0.012, -0.021,  0.011, -0.018, -0.023, -0.017, -0.068,  0.171,  0.193, -0.342,  0.181, -0.298, -0.385, -0.281,  0.042, -0.104, -0.118,  0.209, -0.111,  0.182,  0.235,  0.172, -0.006,  0.015,  0.017, -0.031,  0.016, -0.027, -0.035, -0.025,  0.042, -0.105, -0.119,  0.211, -0.112,  0.184,  0.237,  0.173, -0.006,  0.015,  0.017, -0.030,  0.016, -0.026, -0.034, -0.025,  0.021, -0.051, -0.058,  0.103, -0.054,  0.089,  0.116,  0.084,  0.001, -0.003, -0.003,  0.005, -0.003,  0.005,  0.006,  0.004, 
[0, 1] 0.017, -0.025, -0.019, -0.011, -0.019, -0.012, -0.010, -0.004,  0.280, -0.409, -0.305, -0.189, -0.307, -0.190, -0.165, -0.068, -0.171,  0.250,  0.186,  0.115,  0.188,  0.116,  0.101,  0.041,  0.025, -0.037, -0.028, -0.017, -0.028, -0.017, -0.015, -0.006, -0.173,  0.252,  0.188,  0.116,  0.190,  0.117,  0.101,  0.042,  0.025, -0.036, -0.027, -0.017, -0.027, -0.017, -0.014, -0.006, -0.084,  0.123,  0.091,  0.057,  0.092,  0.057,  0.049,  0.020, -0.004,  0.006,  0.005,  0.003,  0.005,  0.003,  0.003,  0.001, 
[1, 0] 0.002,  0.033, -0.020,  0.003, -0.020,  0.003, -0.010, -0.001,  0.033,  0.537, -0.328,  0.048, -0.331,  0.047, -0.161, -0.008, -0.020, -0.328,  0.200, -0.030,  0.202, -0.029,  0.098,  0.005,  0.003,  0.048, -0.030,  0.004, -0.030,  0.004, -0.015, -0.001, -0.020, -0.331,  0.202, -0.030,  0.204, -0.029,  0.099,  0.005,  0.003,  0.047, -0.029,  0.004, -0.029,  0.004, -0.014, -0.001, -0.010, -0.161,  0.098, -0.015,  0.099, -0.014,  0.048,  0.003, -0.001, -0.008,  0.005, -0.001,  0.005, -0.001,  0.003,  0.000, 
[1, 1] 0.041,  0.010,  0.010,  0.002,  0.010,  0.003,  0.002,  0.001,  0.673,  0.161,  0.165,  0.040,  0.162,  0.050,  0.030,  0.009, -0.411, -0.098, -0.101, -0.024, -0.099, -0.030, -0.019, -0.005,  0.061,  0.015,  0.015,  0.004,  0.015,  0.004,  0.003,  0.001, -0.415, -0.099, -0.102, -0.025, -0.100, -0.031, -0.019, -0.005,  0.059,  0.014,  0.014,  0.004,  0.014,  0.004,  0.003,  0.001, -0.202, -0.048, -0.049, -0.012, -0.049, -0.015, -0.009, -0.003, -0.010, -0.002, -0.003, -0.001, -0.003, -0.001, -0.000, -0.000, 
