       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0]-1.124,  0.002, -0.003,  0.005,  0.004,  0.003,  0.010, -0.002,  0.001,  0.004,  0.000, -0.000, -0.000, -0.001,  0.000,  0.001, -0.006, -0.002, -0.000,  0.000,  0.000,  0.001,  0.000, -0.001,  0.013, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.003, -0.006, -0.000, -0.000, -0.000,  0.001, -0.000, -0.001,  0.005, -0.002,  0.001, -0.002, -0.001,  0.003, -0.000,  0.001,  0.010, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.006,  0.001, -0.006, -0.001,  0.002,  0.000,  0.007, 
[0, 1] 0.002,  0.125,  0.000, -0.003, -0.001,  0.178,  0.002, -0.353,  0.000,  0.000, -0.001,  0.000, -0.001, -0.000,  0.000, -0.000, -0.000, -0.002,  0.001, -0.000,  0.001,  0.000, -0.000,  0.000, -0.002, -0.004, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.003,  0.001,  0.000,  0.001, -0.000, -0.000, -0.000, -0.176,  0.002,  0.001,  0.002,  0.002,  0.001,  0.002,  0.000, -0.004, -0.005,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.530,  0.001, -0.003,  0.005,  0.002,  0.003,  0.006,  0.001, 
[1, 0]-0.003,  0.000,  0.250,  0.177,  0.000,  0.001,  0.000, -0.001, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.001,  0.000,  0.000,  0.000, -0.001, -0.000,  0.001, -0.000,  0.001, -0.000,  0.000,  0.001, -0.007,  0.000, -0.003, -0.002, -0.000, -0.000,  0.000,  0.000, -0.004,  0.000, -0.001, -0.000,  0.001, -0.000, -0.001,  0.125,  0.002, -0.000, -0.000, -0.176, -0.001, -0.000,  0.000,  0.002, -0.008,  0.000, -0.003, -0.004, -0.000, -0.000, -0.003,  0.126, -0.000,  0.000, -0.000, -0.530, -0.007, -0.001, 
[1, 1] 0.005, -0.003,  0.177, -0.374, -0.354, -0.001,  0.001,  0.001,  0.000, -0.000, -0.000,  0.001,  0.000, -0.000,  0.004, -0.000,  0.000,  0.000, -0.000, -0.004, -0.000,  0.000, -0.002,  0.000, -0.000,  0.000,  0.000,  0.007,  0.000,  0.001, -0.000,  0.001, -0.000,  0.000,  0.000,  0.001,  0.000,  0.000, -0.006,  0.000,  0.000, -0.000,  0.000,  0.004, -0.000,  0.125, -0.001,  0.125, -0.000,  0.000,  0.000,  0.005,  0.000,  0.002, -0.000,  0.002,  0.001, -0.000,  0.000, -0.002, -0.000,  0.125,  0.007,  0.125, 
[0, 0] 0.004, -0.001,  0.000, -0.354, -0.001, -0.001,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.001, -0.000,  0.000,  0.000,  0.001, -0.000, -0.001,  0.000, -0.001,  0.000, -0.000,  0.001, -0.003,  0.000, -0.007,  0.000, -0.000,  0.002, -0.000,  0.000, -0.001,  0.000, -0.004,  0.000, -0.001,  0.000,  0.000,  0.125,  0.000, -0.000,  0.002, -0.000, -0.002,  0.176, -0.000,  0.002, -0.003,  0.000, -0.008, -0.000, -0.000,  0.004,  0.000,  0.125,  0.000, -0.000,  0.000, -0.001,  0.001,  0.531, 
[0, 1] 0.003,  0.178,  0.001, -0.001, -0.001, -0.499, -0.004, -0.250, -0.000, -0.000,  0.004, -0.001,  0.000,  0.001,  0.000,  0.000,  0.000,  0.000, -0.002,  0.001, -0.000, -0.005, -0.000, -0.001,  0.001, -0.000,  0.000,  0.000,  0.000,  0.010,  0.000,  0.003,  0.000,  0.000, -0.006,  0.001, -0.000,  0.002,  0.000,  0.001,  0.125, -0.000, -0.003,  0.002,  0.000,  0.004, -0.001,  0.000,  0.002, -0.000, -0.000,  0.000,  0.000,  0.008,  0.000,  0.003,  0.125, -0.000,  0.005,  0.003,  0.000, -0.001, -0.001,  0.001, 
[1, 0] 0.010,  0.002,  0.000,  0.001,  0.000, -0.004, -0.125, -0.001,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.001,  0.000, -0.000, -0.000,  0.001, -0.002, -0.001,  0.000, -0.010,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.006,  0.000, -0.002, -0.001,  0.125, -0.176, -0.125, -0.001,  0.002, -0.000, -0.000, -0.000,  0.002, -0.004, -0.002,  0.000, -0.010,  0.000, -0.005, -0.002,  0.125, -0.530, -0.126, -0.001,  0.001, -0.000, 
[1, 1]-0.002, -0.353, -0.001,  0.001,  0.000, -0.250, -0.001, -0.750,  0.000, -0.000,  0.000, -0.001, -0.004,  0.000, -0.000,  0.001, -0.000,  0.000, -0.000,  0.001,  0.002, -0.001, -0.000, -0.005, -0.001, -0.000, -0.000,  0.000,  0.000,  0.003,  0.000,  0.010,  0.000,  0.000, -0.000,  0.001,  0.006,  0.001,  0.000,  0.002, -0.125, -0.000, -0.000,  0.003,  0.003,  0.000,  0.001,  0.003, -0.002, -0.000, -0.000,  0.000,  0.000,  0.003,  0.000,  0.008, -0.125, -0.000, -0.000, -0.001, -0.005,  0.000,  0.001, -0.002, 
[0, 0] 0.001,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.875,  0.004, -0.003,  0.005,  0.004,  0.002,  0.010, -0.001, -0.003,  0.000,  0.001, -0.002, -0.001,  0.002,  0.000,  0.002,  0.001, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.001, -0.002, -0.001,  0.005,  0.001, -0.003, -0.000, -0.006, -0.001, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.002, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.177,  0.001,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, 
[0, 1] 0.004,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.004,  0.375, -0.000, -0.003, -0.002,  0.178,  0.002, -0.353, -0.177, -0.001, -0.000,  0.002,  0.001,  0.001,  0.002,  0.000, -0.000, -0.002,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.530, -0.002,  0.002, -0.005, -0.003, -0.003, -0.006, -0.001,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.002, -0.002, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.177, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, 
[1, 0] 0.000, -0.001,  0.000, -0.000, -0.000,  0.004, -0.000,  0.000, -0.003, -0.000,  0.500,  0.177,  0.000,  0.002, -0.001, -0.001, -0.001,  0.125, -0.000, -0.000,  0.000, -0.177, -0.002, -0.000,  0.000,  0.000, -0.002,  0.000, -0.001, -0.000, -0.000, -0.000,  0.003, -0.125, -0.002, -0.000, -0.000,  0.530,  0.006,  0.001,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.002,  0.000, -0.001, -0.002, -0.000, -0.000, -0.000,  0.000, -0.177, -0.000,  0.000, -0.000, -0.000,  0.000, 
