       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[0, 0]-0.250, -0.000,  0.000,  0.000,  0.354,  0.000, -0.125, -0.000, -0.002, -0.000, -0.000, -0.000,  0.000, -0.000, -0.001,  0.000, -0.001, -0.000,  0.000, -0.001,  0.000, -0.001, -0.000,  0.000,  0.000, -0.000,  0.000, -0.003,  0.000, -0.001,  0.000, -0.000,  0.177, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, -0.001, -0.000, -0.003, -0.001,  0.125,  0.125,  0.002,  0.000,  0.000,  0.000, -0.000,  0.125,  0.000, -0.000,  0.000, -0.000,  0.530, -0.000,  0.125,  0.000, -0.000, 
[0, 1]-0.000, -0.500, -0.000,  0.000, -0.000, -0.001,  0.000,  0.000, -0.000,  0.002, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.001, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.177, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.125,  0.125,  0.000,  0.530,  0.000,  0.003,  0.002, -0.250, -0.000,  0.000, -0.001,  0.000,  0.001, -0.000,  0.000,  0.000,  0.001,  0.003, -0.000,  0.000, -0.000, -0.000, 
[1, 0] 0.000, -0.000, -0.000, -0.125,  0.001,  0.177, -0.000, -0.000, -0.000, -0.000,  0.002,  0.001,  0.000, -0.000,  0.000, -0.000,  0.000, -0.001, -0.001,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.001,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.177, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.001, -0.000,  0.000,  0.125, -0.000,  0.530,  0.000,  0.000, -0.000, -0.125, -0.125,  0.000,  0.000,  0.000,  0.000, -0.001,  0.125,  0.000,  0.000,  0.001,  0.000, -0.000,  0.000, 
[1, 1] 0.000,  0.000, -0.125, -0.250,  0.001, -0.354, -0.001,  0.000, -0.000,  0.000,  0.001,  0.002,  0.000,  0.000,  0.000, -0.000, -0.000,  0.001,  0.000, -0.001,  0.000,  0.000,  0.000,  0.000,  0.000,  0.001, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.177,  0.000, -0.000, -0.000, -0.000, -0.530, -0.003, -0.000, -0.000,  0.125, -0.000, -0.000, -0.000, -0.000,  0.000, -0.125, -0.125,  0.000,  0.000, -0.000,  0.000,  0.001, -0.125,  0.000,  0.000, -0.001, -0.000, -0.000, -0.000, 
[0, 0] 0.354, -0.000,  0.001,  0.001, -0.000,  0.000, -0.177, -0.000, -0.000,  0.000,  0.000,  0.000,  0.001,  0.000, -0.000, -0.000, -0.000,  0.000,  0.001,  0.001, -0.001,  0.000,  0.000, -0.000, -0.000, -0.000,  0.001,  0.001,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.177,  0.000, -0.000, -0.000,  0.000,  0.000, -0.001,  0.001, -0.000,  0.002, -0.000, -0.530,  0.000, -0.001,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.125, -0.125,  0.000,  0.000, -0.000,  0.000, 
[0, 1] 0.000, -0.001,  0.177, -0.354,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.001, -0.000, -0.000, -0.000,  0.001, -0.000, -0.000,  0.000, -0.001, -0.000,  0.000,  0.000,  0.003, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.177, -0.000,  0.000, -0.125, -0.001, -0.000,  0.000, -0.000,  0.001, -0.125,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.003, -0.530,  0.000,  0.000, -0.002, -0.001, -0.000, -0.000, 
[1, 0]-0.125,  0.000, -0.000, -0.001, -0.177,  0.000,  0.000,  0.000, -0.001, -0.000,  0.000,  0.000, -0.000, -0.000, -0.002, -0.000, -0.000,  0.000,  0.001, -0.000, -0.000, -0.001, -0.001, -0.000,  0.000,  0.000,  0.003, -0.000, -0.000, -0.001,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.177, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.125,  0.125,  0.001, -0.000, -0.000,  0.000, -0.000,  0.125, -0.000,  0.000, -0.000, -0.530,  0.000,  0.000,  0.125, -0.000,  0.000, 
[1, 1]-0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.500,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.003,  0.001,  0.000,  0.000, -0.000, -0.001,  0.000, -0.001, -0.001,  0.001,  0.000,  0.000, -0.000, -0.003,  0.000, -0.001,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.177,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.250, -0.125, -0.003, -0.000,  0.000,  0.530, -0.000,  0.125, -0.000, 
[0, 0]-0.002, -0.000, -0.000, -0.000, -0.000, -0.000, -0.001,  0.000, -0.000,  0.004,  0.001,  0.001,  0.354,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.177, -0.000,  0.125,  0.000, -0.001, -0.000,  0.000, -0.000,  0.530, -0.000,  0.125,  0.000,  0.001,  0.003,  0.000,  0.000, -0.000, -0.000, -0.000,  0.001, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.001,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.001,  0.000,  0.000,  0.000,  0.000,  0.003, -0.000,  0.001,  0.000, -0.000, 
[0, 1]-0.000,  0.002, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.004, -1.125, -0.000,  0.001, -0.002, -0.002,  0.000, -0.001,  0.000,  0.000,  0.001,  0.001, -0.000, -0.000, -0.000, -0.000,  0.000,  0.001,  0.000,  0.004, -0.000,  0.003, -0.000,  0.000,  0.000, -0.005, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.001,  0.001,  0.000,  0.003,  0.000,  0.000,  0.000, -0.002, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.001,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000, 
