       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[1, 0]-0.000, -0.001,  0.000, -0.016, -0.000,  0.000,  0.000,  0.000, -0.001, -0.225, -0.192,  0.001,  0.000,  0.204, -0.001, -0.000, -0.000,  0.310, -0.289,  0.000, -0.000, -0.084, -0.000,  0.000,  0.128,  0.001, -0.001,  0.004,  0.135,  0.000,  0.350,  0.000,  0.000, -0.000,  0.001, -0.184,  0.000, -0.000,  0.003,  0.000, -0.000, -0.093, -0.021, -0.000,  0.000,  0.124,  0.001,  0.000, -0.002,  0.001, -0.001, -0.119, -0.002, -0.000, -0.004,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.001, -0.000, 
[1, 1]-0.001,  0.004, -0.006, -0.000,  0.000, -0.006, -0.000,  0.000,  0.001, -0.000,  0.001, -1.552, -0.003, -0.001,  0.034,  0.001,  0.004,  0.001, -0.000, -0.194,  0.003, -0.000,  0.004,  0.000, -0.000, -0.666, -0.070, -0.000,  0.001,  0.115, -0.000,  0.001, -0.000,  0.001,  0.004,  0.001, -0.000,  0.001, -0.000, -0.000, -0.000, -0.001, -0.000, -0.123,  0.000,  0.000, -0.000,  0.000,  0.000,  0.013,  0.004, -0.001, -0.000, -0.002, -0.000, -0.000, -0.000,  0.001,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, 
[0, 0] 0.000, -0.002, -0.119, -0.001, -0.001,  0.383, -0.001,  0.000, -0.056,  0.001,  0.000, -0.003, -0.011, -0.000, -0.255,  0.000,  0.260, -0.000, -0.000,  0.003, -0.262,  0.000,  0.140,  0.000, -0.000,  0.001,  0.002, -0.000,  0.000,  0.000, -0.000, -0.096, -0.000,  0.150, -0.026, -0.000,  0.000,  0.215, -0.000,  0.000, -0.175,  0.000, -0.000,  0.000,  0.125,  0.001,  0.000, -0.000,  0.000,  0.008,  0.114,  0.000, -0.001, -0.020,  0.000,  0.002, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, 
[0, 1] 0.000, -0.000, -0.001, -0.107,  0.000,  0.000,  0.002,  0.000, -0.001, -0.041,  0.204, -0.001, -0.000, -0.026,  0.000, -0.000,  0.000, -0.093, -0.084, -0.000,  0.000,  0.053, -0.000,  0.000,  0.095, -0.001, -0.001,  0.005, -0.275,  0.000,  0.291,  0.000, -0.000,  0.000, -0.000,  0.181,  0.000,  0.002, -0.004, -0.000, -0.000,  0.138,  0.124,  0.000,  0.000, -0.121,  0.000, -0.000, -0.002, -0.000,  0.000, -0.021,  0.005, -0.000, -0.005,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.001,  0.000, 
[1, 0] 0.000,  0.199, -0.308,  0.000,  0.000, -0.354,  0.000,  0.000,  0.041, -0.001, -0.001,  0.034, -0.255,  0.000,  0.259, -0.000,  0.199,  0.001, -0.000,  0.004,  0.140,  0.000,  0.001, -0.000,  0.000,  0.013,  0.004,  0.000,  0.001, -0.003,  0.000,  0.015, -0.000,  0.008,  0.213, -0.000, -0.000,  0.026,  0.001, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.123, -0.000,  0.000,  0.020,  0.147,  0.000,  0.000, -0.004, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, 
[1, 1]-0.759,  0.000, -0.000, -0.002,  0.036, -0.000, -0.083, -0.000,  0.000,  0.000, -0.000,  0.001,  0.000, -0.000, -0.000, -0.916, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.071,  0.002,  0.001,  0.000, -0.000, -0.001, -0.000, -0.002,  0.000, -0.020, -0.000, -0.000, -0.001, -0.254, -0.000, -0.054,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.063,  0.157, -0.000,  0.000, -0.002, -0.039, -0.000, -0.109, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, 
[0, 0]-0.001, -0.191,  0.069,  0.000,  0.000, -0.050,  0.000, -0.000, -0.076, -0.001, -0.000,  0.004,  0.260,  0.000,  0.199, -0.000, -0.051,  0.000, -0.001,  0.000, -0.109, -0.001, -0.000,  0.000,  0.001, -0.006, -0.005,  0.000,  0.000,  0.002,  0.000,  0.046, -0.000, -0.119, -0.092,  0.000,  0.000, -0.083, -0.000, -0.000,  0.241, -0.001, -0.000, -0.000, -0.158, -0.000, -0.000,  0.000, -0.000, -0.308, -0.257, -0.000,  0.000,  0.082, -0.000, -0.001, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, 
[0, 1]-0.000, -0.001, -0.000,  0.128,  0.000, -0.000, -0.002, -0.000, -0.001, -0.225,  0.310,  0.001, -0.000, -0.093,  0.001, -0.000,  0.000, -0.192, -0.289, -0.001,  0.001, -0.021, -0.001,  0.000, -0.016,  0.001,  0.000,  0.004, -0.184, -0.000, -0.119,  0.000, -0.000,  0.000, -0.000,  0.135,  0.000,  0.000, -0.002, -0.000,  0.000,  0.204, -0.084,  0.000, -0.000,  0.124, -0.000,  0.000,  0.000, -0.001, -0.000,  0.350,  0.003,  0.001, -0.004, -0.001,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, 
[1, 0]-0.000, -0.000, -0.001,  0.212, -0.000,  0.000, -0.004, -0.000, -0.000,  0.310, -0.289, -0.000, -0.000, -0.084, -0.000,  0.000, -0.001, -0.289,  0.932,  0.001,  0.000,  0.222, -0.001, -0.000,  0.212, -0.000,  0.001, -0.014, -0.116, -0.000, -0.373, -0.000, -0.000, -0.000,  0.000, -0.116,  0.000, -0.000,  0.002,  0.000,  0.000, -0.084,  0.222, -0.000, -0.000,  0.112,  0.000,  0.000, -0.004, -0.000, -0.001, -0.373,  0.002,  0.000,  0.014,  0.001, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.001,  0.000, 
[1, 1]-0.000, -0.001, -0.005, -0.000,  0.000, -0.000,  0.000, -0.000,  0.004,  0.001,  0.000, -0.194,  0.003, -0.000,  0.004,  0.000,  0.000, -0.001,  0.001, -0.447, -0.004, -0.001,  0.033,  0.001,  0.000, -0.070,  0.416,  0.002,  0.000, -0.131,  0.000,  0.005, -0.000,  0.002, -0.000,  0.000,  0.000, -0.003, -0.000, -0.000, -0.000, -0.001,  0.000,  0.130,  0.000,  0.000, -0.000,  0.000, -0.001,  0.004, -0.003, -0.002, -0.001, -0.000, -0.000, -0.000, -0.000,  0.000, -0.001,  0.000, -0.000,  0.000, -0.000, -0.000, 
[0, 0] 0.000, -0.091, -0.092, -0.000, -0.001, -0.098, -0.000, -0.000,  0.260, -0.000, -0.000,  0.003, -0.262,  0.000,  0.140,  0.000, -0.109,  0.001,  0.000, -0.004,  1.107, -0.000, -0.284,  0.001, -0.000,  0.004, -0.000,  0.001,  0.001,  0.010, -0.000,  0.342,  0.000, -0.026,  0.099,  0.000, -0.000,  0.095, -0.000, -0.000, -0.158, -0.000,  0.000,  0.000,  0.354,  0.001, -0.000,  0.000, -0.000,  0.213, -0.000, -0.001, -0.001,  0.502, -0.000, -0.006,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.001, 
[0, 1] 0.000, -0.000, -0.000, -0.082,  0.000, -0.001,  0.001,  0.000,  0.001, -0.093, -0.084, -0.000,  0.000,  0.053,  0.000,  0.000, -0.001, -0.021,  0.222, -0.001, -0.000,  1.028,  0.000, -0.000, -0.068, -0.000,  0.000,  0.005, -0.357,  0.001,  0.111,  0.001,  0.000, -0.000,  0.000, -0.117,  0.000, -0.000,  0.002,  0.000, -0.000,  0.124,  0.112, -0.000, -0.000,  0.131,  0.000, -0.000,  0.001,  0.000, -0.000,  0.167,  0.007, -0.000, -0.005, -0.000,  0.000,  0.000,  0.000, -0.000,  0.001, -0.000, -0.000, -0.000, 
[1, 0] 0.000, -0.022, -0.257,  0.000,  0.000, -0.014, -0.001, -0.000,  0.199,  0.001, -0.000,  0.004,  0.140, -0.000,  0.001,  0.000, -0.000, -0.001, -0.001,  0.033, -0.284,  0.000,  1.323, -0.000,  0.000,  0.004, -0.003,  0.000,  0.000, -0.001,  0.000,  0.275, -0.000,  0.114, -0.000,  0.000,  0.000, -0.170,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.130,  0.000, -0.000,  0.147,  0.248, -0.000,  0.000, -0.175,  0.000, -0.005,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, 
[1, 1]-0.141,  0.000, -0.000,  0.002,  0.178,  0.000,  0.130, -0.001, -0.001, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.071,  0.000,  0.000, -0.000,  0.001,  0.001, -0.000, -0.000,  0.164, -0.006,  0.000, -0.001, -0.000, -0.007,  0.000, -0.004,  0.000, -0.134,  0.000,  0.000, -0.003,  0.026, -0.000, -0.164, -0.000, -0.001,  0.000,  0.000,  0.000, -0.000, -0.000, -0.001,  0.298, -0.327, -0.000, -0.000, -0.005, -0.365, -0.001, -0.223, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, 
[0, 0] 0.003,  0.000,  0.000,  0.000,  0.002, -0.000,  0.003, -0.001, -0.000,  0.756,  0.128, -0.000, -0.000,  0.095,  0.000,  0.002,  0.001, -0.016,  0.212,  0.000, -0.000, -0.068,  0.000, -0.006, -0.923, -0.000, -0.000,  0.001,  0.034, -0.001,  0.020, -0.000, -0.002, -0.001, -0.000,  0.000,  0.002, -0.001,  0.002,  0.000, -0.001, -0.107, -0.082, -0.000, -0.000,  0.151, -0.000, -0.005,  0.018,  0.000,  0.000,  0.000,  0.002, -0.000,  0.003, -0.000, -0.001, -0.002,  0.002,  0.000, -0.000,  0.000,  0.000,  0.000, 
[0, 1]-0.001,  0.001,  0.004, -0.000, -0.000, -0.000,  0.000, -0.000,  0.004, -0.000,  0.001, -0.666,  0.001, -0.001,  0.013,  0.001, -0.006,  0.001, -0.000, -0.070,  0.004, -0.000,  0.004,  0.000, -0.000, -1.552, -0.194, -0.000,  0.001, -0.123, -0.001,  0.000,  0.000, -0.003,  0.003,  0.001, -0.000,  0.000, -0.000, -0.000, -0.006, -0.001, -0.000,  0.115,  0.001,  0.000, -0.002, -0.000, -0.000,  0.034,  0.004, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.001,  0.000,  0.001, -0.000,  0.000, -0.000, -0.000, 
[1, 0]-0.000,  0.004,  0.000,  0.000, -0.000, -0.000, -0.001, -0.000, -0.001,  0.001, -0.001, -0.070,  0.002, -0.001,  0.004,  0.000, -0.005,  0.000,  0.001,  0.416, -0.000,  0.000, -0.003, -0.001, -0.000, -0.194, -0.447,  0.002,  0.000,  0.130, -0.002,  0.000,  0.000,  0.003, -0.004,  0.000,  0.000,  0.000, -0.001, -0.000, -0.000, -0.000, -0.001, -0.131, -0.003,  0.000, -0.000,  0.000,  0.000,  0.004,  0.033,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.001,  0.005, -0.000,  0.000, -0.000, -0.000, 
[1, 1] 0.000,  0.001,  0.000,  0.001,  0.000, -0.000,  0.000,  0.000,  0.001, -0.005,  0.004, -0.000, -0.000,  0.005,  0.000, -0.000,  0.000,  0.004, -0.014,  0.002,  0.001,  0.005,  0.000, -0.000,  0.001, -0.000,  0.002, -2.248, -0.003, -0.001,  0.052,  0.003,  0.000, -0.000,  0.001, -0.003,  0.000, -0.001,  0.000,  0.000, -0.000,  0.005,  0.005, -0.001, -0.001,  0.003,  0.000,  0.000,  0.000,  0.000,  0.000,  0.052,  0.000,  0.000, -0.001, -0.000,  0.000, -0.000, -0.000,  0.003,  0.000,  0.000, -0.000, -0.000, 
[0, 0] 0.002, -0.000,  0.000,  0.000,  0.001, -0.000,  0.002,  0.000,  0.000,  0.035,  0.135,  0.001,  0.000, -0.275,  0.001, -0.001,  0.000, -0.184, -0.116,  0.000,  0.001, -0.357,  0.000, -0.007,  0.034,  0.001,  0.000, -0.003,  0.132, -0.000, -0.270,  0.001,  0.002, -0.000,  0.000,  0.000, -0.003, -0.000,  0.002,  0.001, -0.000,  0.181, -0.117, -0.001, -0.001,  0.258, -0.000, -0.001,  0.002, -0.000,  0.000,  0.000,  0.016, -0.000,  0.002,  0.000, -0.000, -0.001, -0.003, -0.000, -0.001, -0.003,  0.000,  0.000, 
[0, 1]-0.000, -0.000, -0.000, -0.000,  0.001,  0.005, -0.000,  0.000, -0.000,  0.000,  0.000,  0.115,  0.000,  0.000, -0.003, -0.000,  0.002, -0.000, -0.000, -0.131,  0.010,  0.001, -0.001,  0.000, -0.001, -0.123,  0.130, -0.001, -0.000, -0.249,  0.001, -0.000, -0.000,  0.000,  0.000, -0.001, -0.001, -0.001,  0.000,  0.000,  0.001,  0.000, -0.000,  0.250,  0.002, -0.000, -0.005, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.038,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.001, -0.000, -0.000, 
[1, 0] 0.003, -0.000, -0.000,  0.000,  0.002, -0.000,  0.003, -0.000, -0.000, -0.153,  0.350, -0.000, -0.000,  0.291,  0.000, -0.002,  0.000, -0.119, -0.373,  0.000, -0.000,  0.111,  0.000, -0.004,  0.020, -0.001, -0.002,  0.052, -0.270,  0.001,  0.541,  0.000,  0.002,  0.000, -0.001,  0.000,  0.002, -0.001, -0.002,  0.000, -0.000, -0.021,  0.167, -0.000, -0.000,  0.061, -0.000,  0.002,  0.003,  0.000, -0.000, -0.001,  0.002, -0.000,  0.018,  0.000,  0.000, -0.002, -0.005, -0.000,  0.000,  0.002, -0.001,  0.000, 
